ReallocationReference,RequestDate,ApprovalDate,FinancialYear,RequestingCostCentre,RequestingDirectorate,SourceCostCentre,SourceActivity,SourceVoteCode,DestinationCostCentre,DestinationActivity,DestinationVoteCode,ReallocationAmount,Reason,RequestedByRole,ReviewedByRole,ApprovedByRole,Status,ProcessingDate,SupportingDocument,DaysToApproval,DaysToProcess
RLC-FY2025/20-0197,2025-12-07,2026-01-18,FY2025/2026,CC-018,DIR-13,CC-011,ACT-026,V-2540,CC-018,ACT-029,V-2510,1022000,Performance contract revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2026-02-02,RLC-153190,42,15.0
RLC-FY2025/20-0198,2025-08-14,2025-09-13,FY2025/2026,CC-011,DIR-11,CC-005,ACT-011,V-2211,CC-011,ACT-026,V-2230,2041000,Performance contract revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-09-20,RLC-746253,30,7.0
RLC-FY2025/20-0199,2026-02-24,2026-04-04,FY2025/2026,CC-025,DIR-12,CC-012,ACT-028,V-2360,CC-025,ACT-028,V-5130,577000,Performance contract revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2026-04-07,RLC-201987,39,3.0
RLC-FY2025/20-0200,2025-09-12,,FY2025/2026,CC-002,DIR-02,CC-016,ACT-030,V-4120,CC-002,ACT-035,V-2390,4748000,Delayed procurement - savings available,Cost Centre Manager,Head of Budget,,Rejected,,RLC-292259,42,
RLC-FY2025/20-0201,2025-08-03,2025-09-05,FY2025/2026,CC-004,DIR-04,CC-024,ACT-040,V-3120,CC-004,ACT-010,V-4110,2540000,Performance contract revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-09-07,RLC-986850,33,2.0
RLC-FY2025/20-0202,2025-08-24,2025-09-16,FY2025/2026,CC-021,DIR-13,CC-006,ACT-015,V-2250,CC-021,ACT-030,V-5110,694000,Donor compliance requirement,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-09-25,RLC-658624,23,9.0
RLC-FY2025/20-0203,2026-03-04,2026-03-31,FY2025/2026,CC-008,DIR-08,CC-016,ACT-030,V-2510,CC-008,ACT-020,V-2510,2830000,Delayed procurement - savings available,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2026-04-02,RLC-922412,27,2.0
RLC-FY2025/20-0204,2025-08-09,2025-09-17,FY2025/2026,CC-012,DIR-12,CC-015,ACT-030,V-2510,CC-012,ACT-040,V-2340,3381000,Performance contract revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-10-01,RLC-441183,39,14.0
RLC-FY2025/20-0205,2025-08-05,2025-09-15,FY2025/2026,CC-011,DIR-11,CC-019,ACT-029,V-2340,CC-011,ACT-026,V-3110,4788000,Delayed procurement - savings available,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-09-17,RLC-443312,41,2.0
RLC-FY2025/20-0206,2025-07-01,2025-07-13,FY2025/2026,CC-011,DIR-11,CC-017,ACT-029,V-2380,CC-011,ACT-025,V-2250,4459000,Donor compliance requirement,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-07-24,RLC-508926,12,11.0
RLC-FY2025/20-0207,2025-12-03,,FY2025/2026,CC-011,DIR-11,CC-021,ACT-030,V-2380,CC-011,ACT-025,V-3120,1639000,Work plan revision,Cost Centre Manager,Head of Budget,,Returned for Clarification,,RLC-193624,30,
RLC-FY2025/20-0208,2026-04-08,2026-04-14,FY2025/2026,CC-008,DIR-08,CC-020,ACT-029,V-2250,CC-008,ACT-020,V-2540,500000,Work plan revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2026-04-15,RLC-215027,6,1.0
RLC-FY2025/20-0209,2026-01-18,2026-03-02,FY2025/2026,CC-014,DIR-13,CC-029,ACT-026,V-2510,CC-014,ACT-029,V-2450,3571000,Delayed procurement - savings available,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2026-03-08,RLC-500099,43,6.0
RLC-FY2025/20-0210,2026-04-11,,FY2025/2026,CC-012,DIR-12,CC-015,ACT-029,V-2340,CC-012,ACT-040,V-4120,868000,Delayed procurement - savings available,Cost Centre Manager,Head of Budget,,Rejected,,RLC-261760,27,
RLC-FY2025/20-0211,2025-09-12,2025-10-16,FY2025/2026,CC-018,DIR-13,CC-010,ACT-023,V-2110,CC-018,ACT-029,V-2212,3312000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-10-27,RLC-188776,34,11.0
RLC-FY2025/20-0212,2026-02-03,2026-03-13,FY2025/2026,CC-018,DIR-13,CC-005,ACT-036,V-2450,CC-018,ACT-030,V-2340,2381000,Work plan revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2026-03-27,RLC-336706,38,14.0
RLC-FY2025/20-0213,2025-11-15,2025-12-14,FY2025/2026,CC-005,DIR-05,CC-007,ACT-018,V-4130,CC-005,ACT-011,V-2510,3618000,Work plan revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-12-29,RLC-135087,29,15.0
RLC-FY2025/20-0214,2025-08-10,2025-08-22,FY2025/2026,CC-009,DIR-09,CC-002,ACT-035,V-2240,CC-009,ACT-022,V-4120,4816000,Donor compliance requirement,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-09-03,RLC-587521,12,12.0
RLC-FY2025/20-0215,2025-08-09,,FY2025/2026,CC-003,DIR-03,CC-018,ACT-029,V-2510,CC-003,ACT-006,V-4120,3227000,Donor compliance requirement,Cost Centre Manager,Head of Budget,,Pending,,RLC-742818,43,
RLC-FY2025/20-0216,2026-02-26,2026-04-06,FY2025/2026,CC-025,DIR-12,CC-002,ACT-005,V-2110,CC-025,ACT-040,V-4120,2379000,Work plan revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2026-04-18,RLC-936997,39,12.0
RLC-FY2025/20-0217,2026-04-15,2026-05-04,FY2025/2026,CC-024,DIR-12,CC-010,ACT-024,V-2210,CC-024,ACT-027,V-3110,3689000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2026-05-05,RLC-700687,19,1.0
RLC-FY2025/20-0218,2025-09-03,,FY2025/2026,CC-023,DIR-12,CC-002,ACT-005,V-2120,CC-023,ACT-040,V-2540,2527000,Donor compliance requirement,Cost Centre Manager,Head of Budget,,Pending,,RLC-364294,35,
RLC-FY2025/20-0219,2025-09-28,2025-11-07,FY2025/2026,CC-013,DIR-13,CC-005,ACT-013,V-2520,CC-013,ACT-030,V-2110,3759000,Performance contract revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-11-19,RLC-487728,40,12.0
RLC-FY2025/20-0220,2026-03-28,,FY2025/2026,CC-022,DIR-12,CC-027,ACT-027,V-2510,CC-022,ACT-028,V-4130,1068000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,,Returned for Clarification,,RLC-724473,5,
RLC-FY2025/20-0221,2026-02-11,2026-03-26,FY2025/2026,CC-027,DIR-12,CC-031,ACT-025,V-2440,CC-027,ACT-028,V-2420,1342000,Work plan revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2026-03-29,RLC-156964,43,3.0
RLC-FY2025/20-0222,2026-03-01,2026-03-23,FY2025/2026,CC-007,DIR-07,CC-022,ACT-028,V-2211,CC-007,ACT-017,V-2330,2427000,Vote exhaustion risk,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2026-03-31,RLC-498249,22,8.0
RLC-FY2025/20-0223,2026-02-08,,FY2025/2026,CC-018,DIR-13,CC-023,ACT-040,V-4120,CC-018,ACT-030,V-2520,897000,Performance contract revision,Cost Centre Manager,Head of Budget,,Rejected,,RLC-500560,3,
RLC-FY2025/20-0224,2026-02-07,2026-03-21,FY2025/2026,CC-013,DIR-13,CC-023,ACT-028,V-2230,CC-013,ACT-029,V-5130,3260000,Donor compliance requirement,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2026-04-05,RLC-451238,42,15.0
